1,Aadarsh,Boy,One who has principles
2,Aadesh,Boy,"Command, Message"
3,Aadhidev,Boy,First god
4,Aadhira,Girl,Moon
5,Aadhishankar,Boy,"Sri Shankaracharya, founder of Adwaitha Philosophy"
6,Aadit,Boy,Peak
7,Aaditey,Boy,Son of aditi
8,Aagman,Boy,Arrival
9,Aagney,Boy,Born from fire
10,Aahna,Girl,Exist
11,Aahva,Boy,Beloved
12,Aahwaanith,Boy,Wanted
13,Aakaanksha,Girl,Desire
14,Aakarshan,Boy,Attraction
15,Aaloka,Girl,Cry Of Victory
16,Aamod,Boy,"Pleasant, accept"
17,Aanandhi,Girl,Always happy
18,Aaral,Girl,Flower
19,Aarnav,Boy,Ocean
20,Aaruthira,Girl,Mellowness; Tranquility; Softness
21,Aaryahi,Girl,Godess Durga
22,Aashi,Girl,Smile
23,Aashirya,Girl,From The Land Of God
24,Aashna,Girl,Beloved ; Cherished
25,Aasmi,Girl,I am
26,Aavani,Girl,Earth
27,Abha,Girl,Lustrous Beauty
28,Abhay,Boy,"Fearless,A Son Of Dharma"
29,Abhi,Boy,Fearless
30,Abhibhushpam,Girl,Astonishing Flower
31,Abhijat,Boy,"Noble, Wise, Total Victory"
32,Abhijay,Boy,Victorious
33,Abhijit /Abhijeet,Boy,"One Who Is Victorious, A Star"
34,Abhik,Boy,Beloved
35,Abhilash,Boy,Wish / Desire
36,Abhilasha,Girl,"Ambition, Desire"
37,Abhinandan,Boy,Congratulation
38,Abhinandana,Girl,"Congratulations, happiness"
39,Abhinav,Boy,Quite New
40,Abhindra,Boy,King of heaven
41,Abhineeth,Boy,"Serene, loving, forgiving"
42,Abhinivesh,Boy,Desire
43,Abhiraj,Boy,Fearless king
44,Abhiram,Boy,Lovely; Pleasing
45,Abhiroop,Boy,Handsome
46,Abhirut,Boy,
47,Abhisar,Boy,Companion
48,Abhishek,Boy,Shower Of Milk / Water Over An Idol
49,Abhyas,Boy,
50,Abiradhi,Girl,Delight; Pleasure; Joy; Jovialit; Hilarity
51,Abra,Boy,"Fire ,cloud"
52,Achal,Boy,Stable/ Soul
53,Achala,Girl,Constant
54,Achalraj,Boy,Himalayan Mountain
55,Achintya,Boy,Beyond Comprehension
56,Achiraprabha,Girl,Lightening
57,Achlendra,Boy,King of the mountains
58,Achyuta,Boy,"Indestructible, One Who Is Firm"
59,Adah,Girl,"Decorated,Ornament"
60,Adamya,Boy,
61,Adarsh,Boy,Ideal
62,Adarsha,Girl,AdarshaAmbition; Aspiration
63,Adeel,Boy,Honest
64,Adeep,Boy,Light
65,Adharshana,Girl,Idealistic
66,Adheesh,Boy,"King, god"
67,Adhika,Girl,"More, Extra"
68,Adhip,Boy,King
69,Adhira,Girl,Lightning
70,Adhita,Girl,Scholar
71,Adhithyaprabha,Girl,Sun Illumination
72,Adi,Boy,"Beginning , First Born"
73,Adinath,Boy,Father of bharata & bahubali
74,Adisakthi,Girl,Godess durga
75,Adish,Boy,"Lord Shiva, Fire"
76,Adith,Boy,From the begining
77,Aditi,Girl,The Earth
78,Aditya,Boy,Sun
79,Aditya vardhan,Boy,One who embellishes the sun
80,Adjovi,Boy,Prince
81,Adrija,Girl,goddess parvathi
82,Adrika,Girl,Celestial
83,Adrut,Boy,
84,Advait,Boy,Unique
85,Advay,Boy,Unique
86,Advik,Boy,Unique
87,Advika,Girl,One who is unique
88,Agalya,Girl,Accommodations
89,Agasti,Girl,name of a sage
90,Agastya,Boy,A Saint In Hindu Mythology
91,Agendra,Boy,Himalayan Mountain
92,Aghosh,Boy,"Quiet, Soundless"
93,Agnaeyie,Girl,Daughter Of Fire
94,Agneya,Boy,Son Of Agni
95,Agnikaa,Girl,Daughter Of Fire; Born From The Fire
96,Agnimithra,Girl,Friend of fire
97,Agnimitra,Girl,Friend of fire
98,Agniprava,Girl,Bright as the fire
99,Agnivesh,Boy,Dhronacharya's Guru
100,Agraj,Boy,"Leader, Senior"
101,Agrani,Girl,Always First
102,Agrim,Boy,Always Ahead
103,Ahalya,Girl,Wife Of Rishi Gautam
104,Ahan,Boy,Dawn
105,Ahana,Girl,First rays of sun
106,Ainesh,Boy,The son's glory
107,Aisha,Girl,Alvie & Well
108,Aishani,Girl,Goddess Durga
109,Aishwarya,Girl,Wealth
110,Ajalaa,Girl,Earth
111,Ajanta,Girl,A Famous Buddist Cave
112,Ajar,Boy,One Who Is Not Old
113,Ajatashatru,Boy,Without Enemies
114,Ajatashatru,Boy,A Name Of Vishnu
115,Ajay,Boy,"Unconquerable, Invincible"
116,Ajit,Boy,Unconquerable
117,Ajitabh,Boy,One Who Has Conquered The Sky
118,Ajkhyat,Boy,Famous
119,Ajmil,Boy,A Mythological King
120,Akaash,Boy,Sky
121,Akalka,Girl,Spotlessness Girl
122,Akarsh,Boy,Attractive
123,Akav,Boy,Like a spark
124,Akhila,Girl,Total
125,Akhilesh,Boy,Lord Of The Universe
126,Akriti,Girl,Diagram
127,Aksat,Boy,
128,Akshan,Boy,Eye
129,Akshat,Boy,"Uninjurable, One Who Cannot Be Harmed"
130,Akshat,Boy,Rice Used In Worship
131,Akshay,Boy,"Indestructible, Immortal"
132,Akshayakeerti,Boy,Eternal fame
133,Akshit,Boy,Permanent
134,Akshita,Girl,Seen
135,Akshobhya,Boy,Lord Vishnu
136,Akshya,Boy,lmmortal; God
137,Akta,Girl,Anointed
138,Akul,Boy,Lord Shiva
